,y,x,y_test_pred
2347,23.431071966038925,85.4636050902136,8.406127
2348,23.43080247145369,85.4636050902136,7.97754
2349,23.430532976868452,85.4636050902136,7.97754
2350,23.430263482283216,85.4636050902136,8.405602
2351,23.42999398769798,85.4636050902136,3.0745971
2352,23.429724493112747,85.4636050902136,4.222248
2353,23.42945499852751,85.4636050902136,5.4778137
2354,23.429185503942275,85.4636050902136,4.222248
2355,23.42891600935704,85.4636050902136,4.222248
2356,23.428646514771803,85.4636050902136,4.222248
2368,23.478503013040434,85.46387458479884,4.222248
2413,23.46637575670482,85.46387458479884,4.222248
2414,23.466106262119585,85.46387458479884,1.8672951
2581,23.474191099676663,85.46414407938407,7.806718
2582,23.473921605091427,85.46414407938407,7.806718
2583,23.47365211050619,85.46414407938407,4.222248
2584,23.473382615920954,85.46414407938407,4.222248
2693,23.444007706130247,85.46414407938407,1.8672951
2694,23.44373821154501,85.46414407938407,1.8672951
2695,23.443468716959774,85.46414407938407,1.8672951
2696,23.44319922237454,85.46414407938407,1.8672951
2697,23.442929727789302,85.46414407938407,1.8672951
2698,23.442660233204066,85.46414407938407,3.1330025
2699,23.44239073861883,85.46414407938407,4.0962596
2700,23.442121244033594,85.46414407938407,3.6777246
2701,23.44185174944836,85.46414407938407,5.776736
2702,23.441582254863125,85.46414407938407,5.776736
2711,23.439156803596,85.46414407938407,1.8672951
2712,23.438887309010767,85.46414407938407,4.222248
2713,23.43861781442553,85.46414407938407,1.8672951
2714,23.438348319840294,85.46414407938407,1.8672951
2758,23.47958099138138,85.46441357396931,5.822683
2759,23.479311496796143,85.46441357396931,5.822683
2926,23.434305901061755,85.46441357396931,4.222248
2927,23.43403640647652,85.46441357396931,4.222248
2928,23.433766911891283,85.46441357396931,4.222248
2929,23.433497417306047,85.46441357396931,4.222248
3039,23.45694344622157,85.46468306855455,7.97754
3040,23.456673951636333,85.46468306855455,8.405602
3041,23.456404457051097,85.46468306855455,8.405602
3042,23.45613496246586,85.46468306855455,5.2779145
3043,23.455865467880624,85.46468306855455,4.6660256
3044,23.455595973295388,85.46468306855455,3.4327126
3045,23.455326478710152,85.46468306855455,2.2059052
3046,23.455056984124916,85.46468306855455,2.6287725
3047,23.45478748953968,85.46468306855455,1.8672951
3048,23.454517994954443,85.46468306855455,1.8672951
3049,23.454248500369207,85.46468306855455,1.8672951
3056,23.452362038272557,85.46468306855455,7.879304
3057,23.45209254368732,85.46468306855455,7.879304
3058,23.451823049102085,85.46468306855455,3.0745971
3059,23.45155355451685,85.46468306855455,3.0745971
3060,23.451284059931613,85.46468306855455,1.8672951
3103,23.43969579276647,85.46468306855455,3.0745971
3271,23.447511135738313,85.46495256313979,1.8672951
3272,23.447241641153077,85.46495256313979,1.8672951
3273,23.44697214656784,85.46495256313979,1.8672951
3274,23.446702651982605,85.46495256313979,1.8672951
3385,23.469879186312887,85.46522205772501,7.806718
3386,23.46960969172765,85.46522205772501,7.806718
3387,23.469340197142415,85.46522205772501,9.270388
3388,23.46907070255718,85.46522205772501,5.7536087
3389,23.468801207971946,85.46522205772501,6.23435
3390,23.46853171338671,85.46522205772501,3.4327126
3391,23.468262218801474,85.46522205772501,5.2915716
3392,23.467992724216238,85.46522205772501,1.8672951
3393,23.467723229631,85.46522205772501,4.222248
3394,23.467453735045765,85.46522205772501,4.222248
3395,23.46718424046053,85.46522205772501,1.8672951
3400,23.465836767534352,85.46522205772501,1.8672951
3401,23.465567272949116,85.46522205772501,4.222248
3402,23.46529777836388,85.46522205772501,4.222248
3403,23.465028283778643,85.46522205772501,7.806718
3404,23.464758789193407,85.46522205772501,7.806718
3405,23.46448929460817,85.46522205772501,7.806718
3406,23.464219800022935,85.46522205772501,7.806718
3407,23.4639503054377,85.46522205772501,7.806718
3430,23.457751929977274,85.46522205772501,7.97754
3431,23.457482435392038,85.46522205772501,7.97754
3616,23.46071637041487,85.46549155231025,4.222248
3617,23.460446875829632,85.46549155231025,4.222248
3618,23.460177381244396,85.46549155231025,4.222248
3619,23.459907886659163,85.46549155231025,4.222248
3729,23.430263482283216,85.46549155231025,1.8672951
3730,23.42999398769798,85.46549155231025,3.0745971
3731,23.429724493112747,85.46549155231025,3.4327126
3732,23.42945499852751,85.46549155231025,6.23435
3733,23.429185503942275,85.46549155231025,6.23435
3734,23.42891600935704,85.46549155231025,6.0600595
3735,23.428646514771803,85.46549155231025,6.0600595
3736,23.428377020186566,85.46549155231025,6.23435
3737,23.42810752560133,85.46549155231025,4.3962183
3738,23.427838031016094,85.46549155231025,4.222248
3739,23.427568536430858,85.46549155231025,1.8672951
3740,23.42729904184562,85.46549155231025,1.8672951
3741,23.427029547260386,85.46549155231025,1.8672951
3745,23.479042002210907,85.4657610468955,1.8672951
3746,23.47877250762567,85.4657610468955,1.8672951
3747,23.478503013040434,85.4657610468955,4.222248
3748,23.4782335184552,85.4657610468955,1.8929205
3749,23.477964023869966,85.4657610468955,5.5842977
3750,23.47769452928473,85.4657610468955,4.222248
3751,23.477425034699493,85.4657610468955,7.806718
3752,23.477155540114257,85.4657610468955,7.806718
3753,23.47688604552902,85.4657610468955,7.806718
3775,23.470957164653832,85.4657610468955,1.8672951
3776,23.470687670068596,85.4657610468955,1.8672951
3777,23.47041817548336,85.4657610468955,7.806718
3962,23.47365211050619,85.46603054148073,7.806718
3963,23.473382615920954,85.46603054148073,7.806718
3964,23.473113121335718,85.46603054148073,4.222248
4074,23.443468716959774,85.46603054148073,4.222248
4075,23.44319922237454,85.46603054148073,4.222248
4076,23.442929727789302,85.46603054148073,6.23435
4077,23.442660233204066,85.46603054148073,6.23435
4078,23.44239073861883,85.46603054148073,3.4327126
4079,23.442121244033594,85.46603054148073,7.7965903
4080,23.44185174944836,85.46603054148073,8.046292
4081,23.441582254863125,85.46603054148073,9.228923
4082,23.44131276027789,85.46603054148073,8.482409
4083,23.441043265692652,85.46603054148073,8.527728
4084,23.440773771107416,85.46603054148073,8.470597
